Company Name,Title,Description,Location,Started On,Finished On
Orium,Senior Delivery Manager,"Led the standardization of project management processes across the organization, resulting in a 20% improvement in project delivery timelines. Spearheaded the implementation of Agile Release Train, aligning cross-functional teams and accelerating product delivery cycles by 15%.","Mexico City, Mexico",Apr-23,
Gluo,Senior Delivery Manager,"Led the standardization of project management processes across the organization, resulting in a 20% improvement in project delivery timelines. Spearheaded the implementation of Agile Release Train, aligning cross-functional teams and accelerating product delivery cycles by 15%.","Mexico City, Mexico",Nov-19,
Gluo,Project Manager,"Orchestrated the transformation of project management practices, integrating agile and waterfall methodologies to streamline processes, resulting in a 15% reduction in project costs. Successfully managed end-to-end project lifecycles, implementing corrective actions that minimized project deviations by 10%.",Mexico,Sep-17,Apr-23
Digital Nuts Agency,Digital Project Manager,"Implemented process optimization techniques that improved project timelines by 10%, ensuring timely delivery of digital marketing campaigns",,Mar-17,Sep-17
ifahto digital,Digital Project Manager,"Led the digital transformation of project workflows, implementing automation tools that reduced manual tasks by 5%, enhancing overall project efficiency. Collaborated with cross-functional teams to streamline creative processes, reducing project turnaround time by 15% and improving client satisfaction. Developed and implemented standardized procedures for project tracking and reporting, ensuring consistent delivery across all digital campaigns. Facilitated the integration of new project management software, training teams and optimizing use to improve project visibility and coordination.","Ciudad de México y alrededores, México",May-16,Dec-16
TANQUEGROUP,Social media manager/Community manager,"- Generation of the content strategy for each social network. - Develope, execution and content plan optimization for each account. - social network brand monitoring. - Analytics and monthly campaign reporting. - Benchmarking. - Presales projects presentations.",,Dec-15,May-16
MAGA Marketing Gastronómico,Founder / Marketing Director,"-Marketing planning in social media for several restaurants. -Generation of content strategies for each of the managed networks during the hired period. -Quality assurance on deliverables of graphic design, community management, and photography departments. -Development, execution and optimization of CPC and CPM campaigns on Facebook. -Analytics reports.","Ciudad de México y alrededores, México",Oct-14,May-16
Interlat Group,Speaker,SEO actions to improve the positioning of your website.  - Current situation of search engines. - Introduction to SEO and terminology. - SEO on-page. - SEO off-page. - SEO KPIs metrics.,Bogotá Colombia,Oct-15,Oct-15
ProEpta Hotel Collection,Speaker,"Social media management course for restaurants.  - Take advantage of the potential of social media to attract the attention of diners, directing a message according to the public that wants to address the gastronomic business. - Learn to develop a plan where the work schedule is structured day by day. - Manage tools that will help you to correctly manage your establishment's social networks, making their management more efficient. - Generate a crisis management plan, with all the elements to give the best response to a possible situation that puts the reputation of the gastronomic business at risk. - Prepare a monthly analytics report where you can obtain important data to further improve social media management.",,Jul-15,Sep-15
Interlat Group,Panelist,Panel: La blogosfera como herramienta de atracción al usuario.,,Aug-15,Aug-15
Central Banco Universal,Costumer Service Executive,"- Programming, execution, and monitoring of the annual media plan. - Administration of the budget of the area. - management of teamwork. - Supervision of both internal and external communication. - planning of events to launch products or to boost the image of existing ones. - Supervision of the proper use of POS material in agencies. - Facilitator in the induction process in the processes related to the new staff area. - Supervision of the advertising agency in the production of advertising material.","Lara, Venezuela",2003,2010
